state,constituency,party,past_vote_share,swing_estimate,alliance_strength,demographic_alignment,turnout_factor
Kerala,Thiruvananthapuram,LDF,0.45,0.01,0.8,0.7,0.6
Kerala,Thiruvananthapuram,UDF,0.43,0.02,0.7,0.8,0.7
Kerala,Thiruvananthapuram,NDA,0.10,0.00,0.5,0.5,0.6

TN,Chennai North,DMK,0.45,0.02,0.9,0.7,0.6
TN,Chennai North,AIADMK,0.35,-0.01,0.7,0.6,0.5
TN,Chennai North,TVK,0.00,0.08,0.4,0.6,0.7

TN,Coimbatore,DMK,0.40,0.01,0.9,0.6,0.6
TN,Coimbatore,AIADMK,0.42,-0.02,0.8,0.7,0.5
TN,Coimbatore,TVK,0.00,0.07,0.5,0.6,0.7

Assam,Guwahati Central,BJP,0.48,0.02,0.9,0.7,0.6
Assam,Guwahati Central,INC,0.35,-0.01,0.7,0.6,0.5

WB,Kolkata North,BJP,0.45,0.02,0.8,0.7,0.6
WB,Kolkata North,TMC,0.44,0.01,0.9,0.8,0.7
